,region,townsize,gender,age,agecat,ed,edcat,jobcat,union,employ,empcat,retire,income,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03,Total_Spend,log_Total_Spend
region,1.0,0.4140263335764056,-0.012809735570787658,-0.02652545488968173,-0.01845528516484697,0.013850119126935453,0.015709653710584887,-0.004717454831713727,-0.013767673567527968,-0.01020380122402992,-0.009345220315522576,-0.04284887170144302,0.03659429204081232,0.041040350942309976,0.04184978771175467,-0.006780541994349409,0.0075823350756260965,0.0051747856220069775,0.03208117820219614,0.029502060007955983,-0.006856350187853571,0.0156309295160242,0.05649790224169142,0.05296728978240264,0.05029896007057584,0.04574325139648339,-0.01244185786597096,-0.021115696897063725,0.02074608417338378,0.0015991797327836535,-0.008930714948255026,0.023958691722623084,0.0220043069833224,-0.0212048212444937,0.045619549319526005,0.01705180207195396,-0.004960376172077168,-0.0008424961235388197,0.01628049201654424,0.016652347302485465,0.008766252826654853,0.040196989166238206,0.03100436386612676,0.009806013326153728,-0.00982059302693786,0.057388263240253805,0.05064670932366908,0.1887412557619101,-0.011979247969100963,0.011721638620155473,-0.017045380485383798,0.05161124816421134,0.055817724157261404,0.06241605226468192,0.1010069614505256,0.09931720113783905,0.12694190242534248,-0.023518503868882143,-0.006292324124091323,0.0002413991659998478,-0.010910510252094214,0.008363464544588275,-0.011156780420707954,0.002612411485013209,0.012007209903026918,-0.01442464268186334,-0.028101091581227186,-0.000603840153069091,0.00421172503736241,0.003786411279482357,-0.007267279250074691,0.008974083538118289,0.003134022176816366,0.0021663052113522455,0.0033012472954278295,0.002182288620379527,0.011803454696429355,0.005032686485919272,-0.0025145958084041645,0.01087045218624635,0.018974991433569864,0.005710218399109178,0.013361895456514566,0.013429109814928106,0.011870409580675662,0.007496517318515111,0.006682762412939432,-0.0011805112350283713,0.02363090115393573,0.028995509647470802,0.025209080122093223,0.017117643438235127,-0.0005918285180707933,0.024335690999088614,0.021297942876632895,-0.0018356336216407024,0.0237952678692998,-0.0011009281418162759,0.03145347321041471,0.03177301354225052,0.011990468662730522,0.023374010370147146,-0.016226186960377368,0.021834861765981563,0.022922890615299604,0.01877793602845669,0.01966827707902429,0.023290497723290303,0.019332231792320024,0.02608453205274437,0.02863006421608239,0.009907836814211235,0.03277829642433223,0.006338288146182239,0.022060623038250637,0.011319123585446239,0.048588737216193785,0.04022848898001236,0.020596103095385804,0.007503755264674909,0.026391223706447437,0.03662222783076483,0.012312041341884203,-0.013004396026935355,0.005898672804348096,0.005694326401008835,0.04269413421800842,0.03921560503151063
townsize,0.4140263335764056,1.0,0.009576267799388711,-0.07539881608330626,-0.06901694605700799,0.0029678533589390585,0.0037443838558218904,-0.010768321178549044,-0.01984584049888435,-0.05922086953160175,-0.05805937019590732,-0.06577940581348815,-0.009478397411698225,0.0009270227954908878,-0.0075819670304791845,-0.019542744438478775,-0.03922010340854929,-0.031113409075488582,-0.014534888115747864,-0.002946301597641616,0.023539678930301646,-0.03112097228962357,0.029922253532543283,0.02602810491153321,0.023240438334679387,0.04437069762981986,-0.0009672092112519346,-0.01868187267142145,0.03165412107327199,-0.012533444482159732,0.009830326438479073,0.0016483601605572114,0.020929921451835882,-0.006999275749617903,0.02413285133160997,-0.003216738769957592,-0.04197978338520541,-0.04324965595724393,0.0035086847719125033,0.015320920588505786,-0.009613930977081011,0.001887172329007547,0.0008606287148778643,0.0010188574976192015,0.00912658202156378,0.13563711010529755,0.1301114932352668,0.4869990339635918,-0.03207229839812823,-0.004917894914599088,-0.01676988038553473,0.13187070384170116,0.11700288103240686,0.1003469367549824,0.186788659888056,0.2607693946794346,0.29752270102122574,-0.02160137885442243,-0.003479878924599188,0.00136381542548082,-0.014982886130584846,-0.016588530995841053,-0.005437646752229308,0.02656062499292014,-0.00019557806644129077,0.00032219078387309884,-0.007635940996660368,-0.0421375394346785,-0.033832361274304806,0.007818650762242915,0.0017426930341135566,0.023063038711151725,-0.028920467617464377,-0.040128956581092785,-0.03270625102036861,0.02288211371110701,0.010587499507136347,-0.029943917992762324,0.0008877910405586757,-0.01716186209961359,-0.01575964172309161,-0.021963130915959275,-0.02029514572169795,0.0006637952802169678,-0.016292295277048674,-0.0347302587066877,-0.02063008196600596,-0.02559082520292426,-0.006313697657549812,0.0017381502688742605,0.024111199220442452,-0.007741636327971525,-0.004112056766260951,-0.024764910849484994,-0.015165104456596438,-0.0004851943813394402,-0.01709832366716827,-0.012526426184242465,0.007954177189378775,0.00539227730011891,-0.009129341741333867,-0.006855968518471857,-0.022451917554610453,0.004594453091807557,-0.0068419988163006835,-0.0040049267991574145,0.0030955735297464944,-0.004006977886265338,-0.010482126314839873,0.0028580545851958675,0.0036833708088283403,-0.008284536316811399,0.02651330893768472,-0.0025113618662184825,-0.004500532004727093,0.01645771670005452,0.020715132510056036,0.022813352675698003,0.0026388199979634503,0.005333120379703194,0.007898409969188754,-0.0005622498371033088,-0.028756060419970215,-0.0062515766110452274,-0.010070167448719613,-0.007229761424536472,-0.008651442670857098,0.006132263506375212
gender,-0.012809735570787658,0.009576267799388711,1.0,-0.010185912956127672,-0.007427183970714019,-0.0007767204531759202,-0.002672860872710089,-0.016470317789788518,0.0003108578925823983,-0.011755734067415643,-0.01384246824254809,-0.021039891951677537,-0.00194853319200751,0.00303694448230239,-0.0021487391312312136,0.004745840260109944,-0.0065738390625277345,0.004602665735889264,-0.008475462457219937,-0.0016080317833715451,-0.0016204519573234434,0.0017819121977813344,0.003888270617608102,0.0014935434806090204,-0.0019178421432887167,0.031147548880328696,0.02866361197201709,0.013703422556244748,-0.013189169586410707,0.024293134469314567,0.006000601750382894,0.012542729907352912,0.003987637470704438,0.024279893436294234,0.006350971910099028,0.0032001248082402863,-0.013454274553585253,-0.006029911678894045,0.014402503733709774,0.009135270484580434,0.013085756026877038,-0.007357197283029493,-0.0024082281013590224,0.005596929317454023,0.011661577203949766,-0.010415910719989652,-0.011763843745339758,0.009913969077212731,0.03108330441078574,-0.001775446717235503,0.0032436916533381903,-0.028759950032500082,0.0022919065312728133,-0.00710405401799107,0.013717527236575737,0.01940507440978284,0.005030103461682914,-0.006535926920567952,-0.01494396357398467,0.02477644299430586,0.00464038968002229,-0.01529352969454771,-0.036283659309005914,0.04849756770274969,-0.0238303027379623,0.025206661196466657,0.018446412543530424,-0.020110893458540967,-0.0063768890820903885,0.030362494726069375,0.01868579096432986,0.006584014751461361,0.006799331384567844,-0.013578002140877708,-0.00815010290016346,0.02133954604419346,0.015647256568716676,-0.009465907811892766,-0.013391432152145784,-0.027644096229123716,-0.020795835960370514,-0.025733087762442985,-0.011582839772784074,-0.010861862353657065,-0.01737331276725052,-0.01630336910769532,-0.01201498895256949,-0.0007938684947807957,0.011701769077374928,0.004848973903388757,-0.0165681036893892,-0.0034163787584338278,-0.016638389856908544,-0.012769002569578943,-0.022725688723300906,-0.015458113553595772,-0.018585143588956316,-0.010605517746691289,-0.006170111687949391,-0.0171116205739694,-0.019601505242142735,-0.012747834325453823,0.0018317009944089939,-0.01983881383050139,-0.006052965959966927,-0.011541063859711343,-0.012860678571757073,-0.03969276292371136,-0.024920234719489797,-0.0177344534424873,-0.018901995467581832,0.020335321887974114,-0.0006003047210682527,-0.004984105534077366,-0.003569758911590517,0.012180538774174368,-0.002860503032321127,-0.0011159420271371148,-0.006962566283829047,-0.021319487443968575,0.0011643899517467706,0.009167199276695346,-0.020837290431122008,0.018057963940393995,0.001384930805052689,-0.009685069752142788,-0.07751152544451816,-0.07860501487685315
age,-0.02652545488968173,-0.07539881608330626,-0.010185912956127672,1.0,0.9698787511491325,-0.09396556813585001,-0.08112909099838782,0.037708727592910926,0.011205648935625766,0.7055151662165686,0.739573427780039,0.5675186183634449,0.20828641574685217,0.1429844200817307,0.20965924690640045,0.03903086445689713,0.14240062973632522,0.10804661660452648,0.15451363452171063,0.12700600728100978,-0.39420822661229465,0.41680714079192965,0.0030309716861375616,-0.002796456083634221,-0.003425217273178938,-0.33833833739786023,0.02633411858911733,0.01574308263909957,0.013091438924111003,-0.013372999592974078,0.009332056365966445,0.0023259958549448896,-0.0032642047076484344,0.023500344711361202,-0.018264093420188893,-0.022518754158597887,0.8241890324292599,0.8270640824505624,-0.008368060219532295,-0.0815628885219691,0.010314755506231761,0.17575969424802068,0.1410030403431726,0.008255481559535293,0.01900129381846628,0.0005066785285257034,0.004161367909221826,-0.05631347480920211,-0.013161730265959643,-0.0072012842559608225,0.03519818349390527,-0.0031622767728707248,0.011042445154581373,-0.0013108215647073785,-0.01659119802319213,-0.014098465276938584,-0.011686725179060034,0.015065007423176067,-0.02031193166445651,0.029140714179259612,-0.022450456876934692,0.011028128643780236,0.006615876375088372,0.009268334840650682,-0.003612109749097187,0.008708021980009166,0.003981323987386043,0.7348375287344902,0.6762813885742983,-0.006956153565339757,0.038281179395129365,-0.014995759121402136,2.9963853045175792e-05,0.6915488174897231,0.665159338190749,-0.23901144771925495,0.10965601013450081,0.6120137497145645,-0.2659762668756378,0.4686600799673192,0.5222025010962466,0.4996332945678251,0.5705216897092977,-0.0026116921133926144,0.10688663274412018,0.22531259577531643,0.2633284358405497,0.3562122541628229,-0.14155035627969587,-0.10421186967229076,0.09442105323286165,0.09155253921610229,0.2905894517225834,0.28672127683551846,0.29477415120466616,0.1505379132262217,0.4632267567089011,0.40064969637871173,-0.08074723202098744,-0.02535013500703748,0.12485028661140023,0.10872173516239067,0.2524698807271188,0.23813593641911832,-0.07783311634341165,-0.07450101982841566,-0.12645828542594295,-0.018343152072226893,0.0015701788783352513,-0.002782664993098653,0.002204136305184367,-0.12007796748068061,-0.07582403970891052,-0.02731813398296031,0.09919386921597778,0.09302852169436601,0.05509956404655867,-0.07442307759502917,-0.13328369369992873,-0.21752357770673691,-0.23522567139218398,-0.042090228334342734,0.36520424801309076,0.015139940649929283,0.01317496048553256,-0.026230829100046656,0.03167996110968608,0.007270172040865916
agecat,-0.01845528516484697,-0.06901694605700799,-0.007427183970714019,0.9698787511491325,1.0,-0.07833102085110724,-0.06412362451685202,0.03255439643178262,0.00446536735339617,0.6799021990402284,0.7322463655956262,0.5113347421284363,0.2340810683019903,0.19018831819205992,0.24939350353975412,0.04093693996045991,0.15915148023752815,0.13502048059209792,0.17638000593823566,0.15901764809196933,-0.3928586665750162,0.42256400225948576,0.0047846051710868,0.000576764316785838,0.0008237232201102512,-0.3311597687277213,0.0269663201464639,0.021828902981020113,0.0115269028904539,-0.008446245609882743,0.014706207825939607,0.0016628242954050004,-0.0029000259001052044,0.021391729344336724,-0.014792732721431138,-0.027187329240999276,0.8015578452245163,0.8290987796032148,-0.00428333796254164,-0.07091004241184345,0.012551431970909474,0.20056210303831443,0.16058460198931218,0.009064882372676572,0.016535621031368984,-0.005206905086822462,-0.0019715513198071606,-0.052364180234982585,-0.005475325476601519,-0.0032760142307820214,0.028330575411529568,-0.003349829488157774,0.014767993762576133,-0.0015126464504527524,-0.012703959327952824,-0.010765737406340974,-0.012206582913939541,0.012723473028702994,-0.019324802358856447,0.03605638634859661,-0.019001438708784197,0.016982917910677176,0.010554475153649318,0.009448098896220834,-0.0015521071031193445,0.009997040407817247,0.005603813472454269,0.7179918506587313,0.6880273730154439,-0.01037244672183673,0.036449109760902924,-0.016360891238844502,-0.00020248039846054356,0.6798861366943364,0.6685724879014319,-0.2378643893959136,0.11719266878133672,0.5964648753964529,-0.25632433885137007,0.44434548627369536,0.5021572627336256,0.4746385115722345,0.5575058066451601,0.004019173665866318,0.11061733417103439,0.22217773384086542,0.2609769573730816,0.35285862217633646,-0.13507437844041195,-0.09653433219218376,0.09940015290869585,0.09454899872611926,0.29045419967266567,0.27690324101195096,0.28182533626812273,0.1414725821191775,0.44415293146158225,0.3909652463823774,-0.0668584096726853,-0.013045486096051353,0.12394158501828212,0.11632269915249409,0.24785968117582785,0.23231660496859532,-0.06610656696278946,-0.0590511447210259,-0.11888504138340496,-0.009300015517799583,0.00828268333592265,0.005250138740955162,0.012626107235691882,-0.11488880079266515,-0.059941709253173395,-0.019650637175879775,0.12632266078485738,0.12084796159015405,0.07888828999460591,-0.05948969297056227,-0.12319195492598393,-0.20868953188143755,-0.22338683001818868,-0.029309521220076493,0.3482747932988333,0.010039028136696233,0.010467453621367757,-0.014860222967634387,0.051619132011633054,0.030192436404490004
ed,0.013850119126935453,0.0029678533589390585,-0.0007767204531759202,-0.09396556813585001,-0.07833102085110724,1.0,0.9664891423675174,-0.07285517908975146,0.000272886620786019,-0.21466919234269013,-0.19784127786799083,-0.09262721506765477,0.18680166481220414,0.2063321963854121,0.19634339785157096,0.013870837611424238,0.12236187768587106,0.1299110326724269,0.1358685784936007,0.15444951020700878,0.11008006546968582,-0.07958687475353743,-0.021560636414580888,0.11392817406194919,0.16995159086813552,0.02204808922977658,0.031113374153756673,0.008897703478885468,0.026018088445766786,0.009811612226273522,-0.0022682562841042607,0.012165031440491714,-0.0054333164283828835,0.020687961368144544,0.05107692425503883,0.018660166018272105,-0.055953795685678404,-0.03295477857353503,0.0029389876249384874,0.038881555239814417,0.013684421102720662,0.15766367871127998,0.10494732119558986,-0.00043965618960369713,-0.002091045140013468,0.010801163917352901,0.01138701780616007,-0.008465310424579962,0.0009831737237255042,0.0005743803708971896,-0.011309803184802724,0.008073566950934353,0.0013563345388263677,0.04397390027029162,0.025737874660413707,0.004018471979505943,0.00528572380268346,-0.002612612105812835,0.002863102006193033,-0.09327166730118704,0.002693667668739429,0.017996514972130048,0.09734458045259657,-0.020479176913678024,-0.016853067354600643,-0.015035003568287348,-0.02193550193975038,-0.09409831881509145,-0.04686281579702685,-0.09169547692838458,-0.0223652627613762,-0.01187238993742875,-0.02014247497110347,-0.09701352859700266,-0.06042260147972625,0.015088026560888512,0.010378410275980644,-0.09507700575062557,0.23903598911621587,-0.09737708401682525,-0.09228549351033372,-0.10384174767392082,-0.0819270644664615,0.028519620053978074,0.01866163520912653,-0.009493821211322402,-0.013008312611786775,-0.03298849553496394,0.4363354390897862,0.44875948228047813,0.11194338830565502,0.3438539020806855,-0.05078712709818579,-0.04854252715184203,-0.03990923145042898,-0.012350979431412548,-0.08015318416019412,-0.047215348128466034,0.32998500171178874,0.34647571312464753,0.11286092080115857,0.26496722370168846,-0.0392452659548338,0.2615033506426035,0.3339013752675694,0.31545615879705696,0.4634510259320797,0.04347806492855415,0.045767079760087315,0.03806267275165316,0.04388419614727338,0.42775905701998007,0.028753627887561556,-0.009821372978810427,0.06494030688730508,0.06259507035746129,0.05367442654907476,0.30001597881763364,0.43562282994222573,0.3698310176631819,0.3770188151659596,0.2761627571357143,-0.07350992294890495,-0.11733266395306989,0.07375046394844872,0.10791239829181598,0.10094250847961377,0.09807677696628557
edcat,0.015709653710584887,0.0037443838558218904,-0.002672860872710089,-0.08112909099838782,-0.06412362451685202,0.9664891423675174,1.0,-0.06900235035563597,-0.003240148255897994,-0.19970888006722992,-0.18567241168167756,-0.08932152755025617,0.1871728082289881,0.20720874788474516,0.19724994480522143,0.010705327511156304,0.11885729651900233,0.1277788394459012,0.13568940615446154,0.15538032572172025,0.10371432949785792,-0.0656666151810507,-0.02229250996185894,0.10823123233697499,0.16474580665244926,0.013518280731832744,0.030428127461180152,0.013499678464699856,0.028380945110525396,0.013860326736370544,-0.0012079092190428451,0.0077186071280320725,-0.004666509852692399,0.01808493199615031,0.054535239999404767,0.021945332660590344,-0.04393776416125886,-0.020500784326100047,-0.002638819561410397,0.033752174466205674,0.011866395539019588,0.1572068529569658,0.10528601440800486,0.0031004709712629023,-0.006172582503247677,0.009072132761720126,0.009359320382311596,-0.012703609994724882,0.0009051429291747437,0.003951606796211828,-0.014191335530755458,0.006668835882028595,0.0016066281634195074,0.03902760408062139,0.02327552981570687,0.006935250445025806,0.0012501666639296468,-0.0028221761956942655,-0.0010801775855217375,-0.08768012667924817,0.005266097633662586,0.01393672987411106,0.09564334845333014,-0.015564115253609052,-0.01232734803335078,-0.011449792428734963,-0.02051157286694893,-0.08213071142952309,-0.033679832292454415,-0.09270839942724486,-0.023377153829553722,-0.011412792411161986,-0.01184550992532743,-0.08558169532948882,-0.04840594082650285,0.009675610621222628,0.012956532039016495,-0.08676570377447762,0.23127287968962723,-0.09015395899992379,-0.08582775173443363,-0.09551434287606031,-0.07393947401157322,0.032056228773193265,0.022627268770588026,-0.008375308666358904,-0.007222479864674503,-0.028373568776352345,0.42972477870002873,0.44275536456111403,0.1129591564796096,0.33953086312693204,-0.04749521299737615,-0.04629118040685409,-0.0375963471977347,-0.010492921862302744,-0.07441398630589434,-0.041296432592398416,0.3220057510895432,0.3406374932308848,0.11689740237136298,0.2608391925155918,-0.03492522034644511,0.2526151051204324,0.32755455150460827,0.31129288767317503,0.4513262602598193,0.04935949644554082,0.04710593944934963,0.03607287410495573,0.0465680482075375,0.41626945021897904,0.030799288579592455,-0.009331828475823261,0.06982142623886121,0.06656944353263843,0.05656300685436677,0.29312545473795976,0.41461935572634756,0.35748103975468715,0.36119081820109666,0.2736457712798251,-0.06842010397936531,-0.11265272038788063,0.07017215915478667,0.10622336859244351,0.09884164396871357,0.09471748416387107
jobcat,-0.004717454831713727,-0.010768321178549044,-0.016470317789788518,0.037708727592910926,0.03255439643178262,-0.07285517908975146,-0.06900235035563597,1.0,0.08477773724336453,0.41623379043424,0.3467227260637452,0.17373582529463366,0.10685237531419951,0.05265761444551765,0.06755492610019802,0.00367261356037591,0.06848566317560406,0.029643642384075505,0.07321670777867177,0.028732339924050967,-0.08602224348125888,0.1717026884798292,0.0031162145831756254,-0.0036442184336408162,-0.007822766776117023,-0.014961464321850745,0.011705877629728193,-0.02139371540685349,0.00246086644276582,0.0009992450600631116,0.007074530784999631,0.006446276757934315,-0.0016807811154913145,0.01859939471582541,0.02816731013719326,-0.022920499132203825,0.04801407877763842,0.04135012368802892,0.018519084720965136,0.0018929975231348714,0.010942308068279668,0.09482314347182429,0.05517308696290636,-0.0033719250945146817,-0.0066627253277675375,-0.023440154288445487,-0.02174852033958381,-0.005062934430688705,0.02545224404506142,0.002205093931962338,-0.01087973454498052,-0.006605338078459001,-0.00273203327096471,-0.027458384146336386,-0.013114813485847964,-0.016240757950110693,0.011868843736381572,-0.0016590304868795058,0.015027574457338084,0.020041550354810995,-0.017910817344068457,0.0015294405907943863,0.01894460729230665,-0.0204240655441725,0.01221063624087021,-0.031302540743408894,-0.01097892044509516,0.1485281404302349,0.102947311525424,0.020124151367227127,-0.005357683799453943,-0.013699571285296643,0.029617447030309038,0.15940634443061713,0.11682657209741013,-0.028845525992238552,0.02836670801813764,0.15011689173968487,-0.06221073066801951,0.15772545566677357,0.15898211423433772,0.1628979940896429,0.1457170940078811,0.01309974041039266,0.053688342391018676,0.08171992121124123,0.09327871785758376,0.09944095083306638,-0.046809329296043624,-0.03662281334280234,0.023578265012543363,0.014404716710115012,0.07210339596808396,0.09400186149787636,0.10654142955204743,0.05979450963202146,0.15077192096917796,0.10386785618321683,-0.01551492855295995,-0.0016786948951522703,0.02660935392702037,0.03053029131756385,0.055431981206340394,0.08027876443843632,-0.02917474428668902,-0.025179549070988707,-0.039653285811076265,0.0028456534766391436,0.03065189542253638,0.019355159363719183,0.004103123671313908,-0.04253979697387479,0.0035506068776865077,-0.030433629187438103,0.025123582514732852,0.011965734242657483,0.02203814477040469,-0.00935222588129541,-0.03792944252226362,-0.026887992055817038,-0.05027830048014541,0.008409086642382874,0.09086051597616045,0.00013705351678809205,0.0028878429721278277,-0.008415284163356476,0.0024356748886774156,-0.010591580608984883
union,-0.013767673567527968,-0.01984584049888435,0.0003108578925823983,0.011205648935625766,0.00446536735339617,0.000272886620786019,-0.003240148255897994,0.08477773724336453,1.0,0.03527216168166608,0.02802794081748793,0.016391578185362927,0.00758753970825622,0.00892662974677585,0.013028145381768243,-0.004926572927133933,0.0009245448541944761,0.010422646902877536,-0.007085483893949067,-0.006545478500896325,-0.01721011679632479,-0.00766402447519024,-0.004504603236598646,-0.002181496737890278,-0.002041377026080428,0.005406966717793416,0.023958865994215324,-0.020190878422639797,-0.0069493746560653,-0.011026486532729569,0.022877530151209753,0.00032723844427487935,-0.01618037234994639,0.03497649403867064,0.0023380329239255744,-0.007312020872784439,0.0020885164455125356,0.0018476000891968643,0.0032428002453404135,-0.00161848505246507,-0.002496166754926232,0.004754314895138162,-0.005879448715430227,-0.030318062353670565,0.008234285808954864,-0.0038925879668625938,-0.003055788947844305,-0.004822739913380598,-0.005170704232564792,0.021037691504479858,-0.003113100235927148,-0.006748217435580104,-0.015757967014077844,0.003568223196425489,-0.0038878046658894607,-0.017395261968863086,-0.005119540907176955,-0.003040647663683667,-0.006939178829584539,0.016913721737844535,0.006507217080820771,0.010179664905914546,0.0049071049567099055,-0.025885832368563857,0.009338848852388473,0.005804658408063229,0.006422428421920861,0.015198098137940715,0.008931819226337703,0.004069864625112184,-0.016541785775022202,-0.016842940419978664,0.004976068543164647,0.015807890453326135,0.00778711835796116,0.0075027734584446745,0.007873981340102821,0.0036149318073468127,0.0084488208523626,0.021776382561645553,0.016552159401336357,0.021146579966052514,0.016411010080030257,0.015031598827907158,0.01944374516301331,0.018249709315310236,0.009807309790136224,0.013709805001567906,0.01337481581733805,0.0163240292887931,0.008493718916713237,0.00860351686433588,0.00173272104214556,0.01925912925999811,0.012993157125423753,0.0011971580428707606,0.012729468111393234,0.0004275390490384373,0.031213765408661574,0.028419800594876674,0.00039787995652525084,0.0188471459450381,-0.007339958960234497,0.03659902023036831,0.0339324911662323,0.03490548155560377,0.004662262722265746,0.03549307285221261,0.014389502013350422,0.017505630995830822,0.017470959670490616,0.0040517166739209385,-0.004957835160099508,-0.008693640588801939,0.005636076392703016,0.012555199394975819,0.006250670326297808,0.01956459296886185,0.006489376437017037,-0.005895171608929321,0.0067651153799852225,0.024516306580028104,0.00750830149530261,-0.010491623272989881,0.0064305798898275255,0.004478954400624923,0.01145607155134803,0.021191239280797164
employ,-0.01020380122402992,-0.05922086953160175,-0.011755734067415643,0.7055151662165686,0.6799021990402284,-0.21466919234269013,-0.19970888006722992,0.41623379043424,0.03527216168166608,1.0,0.9035909382449614,0.5011823909995929,0.35044903854572457,0.26730302362194425,0.31658417271442774,0.03180059983708149,0.22551383445329048,0.17264548136712382,0.24916467919467764,0.19559730922210877,-0.32924180119769547,0.46435464078145644,-0.00663927395758869,-0.029652200862130218,-0.03577880193466217,-0.2455729286860574,0.02499570366002598,0.0071710667388364645,0.0037063057113325168,-0.009248850332617523,-0.0022531654803083926,0.009212876787919738,-0.006250807986252297,0.028055901819858897,0.02026071522567232,-0.0426477077097507,0.6094030249031305,0.5986114591649585,-0.00016614966855620336,-0.03906692970844903,0.002151351074888853,0.2916743089074047,0.19753677511459794,0.006982014824962381,0.0141305046392236,-0.006915214964991369,-0.0037504743361118508,-0.030913461412624257,-0.0007471717109232789,0.0035723132131518427,0.02723467410516719,0.006973934142586303,0.003912348283550574,-0.020603737900912064,-0.028413659525952272,-0.012897561145992139,-0.0008738286408571008,0.01522076200654277,-0.00601729482382887,0.06301738722520887,-0.02222280376067047,0.02405371275660165,0.026494487102925963,-0.0002917422056510889,0.0053303843609991824,-0.0023029720760292514,0.01227559881926709,0.6797567252898264,0.5585056135737935,0.00013066030091226486,0.028572670092879345,-0.004384857578217508,0.022780417972145025,0.6570524693507049,0.579377953676166,-0.1691193015871581,0.09252962244339127,0.5876773966162497,-0.2553290623687452,0.5209062596524606,0.534209405334941,0.5534845479627645,0.5412701295560896,0.02349827379530111,0.14676928916220477,0.25555200170918374,0.3057649346312014,0.34488066609995394,-0.17447001633135453,-0.13478900592183543,0.09589224406228655,0.044917964691699015,0.2506473255569537,0.29186845493044444,0.32112066010823814,0.17688698135607442,0.49007668106926455,0.38630763507284577,-0.08028817036896659,-0.02626858469019805,0.119418219994379,0.10303903133586562,0.2269002771149487,0.22256836789264905,-0.08019624109024602,-0.08657190734641836,-0.1550900510740852,0.013483293364909426,0.03874898508140757,0.03065565420844241,0.029286257247055206,-0.15256297430908788,0.015878745699627224,0.000233135718357482,0.12770214631747062,0.12516322762113094,0.10743513378867682,-0.0697749335036902,-0.16202771293506735,-0.19883789574050606,-0.2186767935820198,-0.0405869498036702,0.3687776747388376,0.039085284140923146,0.014410157552441379,-0.02931228633017101,0.09138649153841413,0.06952177748015644
